Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Fordfigo,9,0,1200,0,0,12,16000,1750000
Fordtitanium,9,1,1500,0,0,9,34500,2400000
Fordfigo,7,0,1200,0,0,11,20000,1525000
Fordfigo,11,0,1200,0,0,8,39000,1300000
Fordfigo,9,0,1200,0,0,9,20000,1350000
Fordfigo,9,0,1200,0,0,10,20000,1550000
Fordfigo,7,0,1400,0,1,12,8000,200000
Fordfigo,10,0,1200,0,0,11,40500,1350000
Fordfigo,8,0,1200,0,0,10,42500,1525000
Fordfigo,9,0,1400,0,1,9,47500,1375000
Fordecosport,8,0,1500,0,0,11,18000,3550000
Fordfigo,10,0,1200,0,0,9,33000,1435000
Fordfigo,10,0,1200,0,0,9,25000,1325000
Fordfiesta,7,0,1500,0,0,10,22000,3400000
Fordtitanium,7,0,1500,0,1,11,26450,3800000
Fordfiesta,9,0,1600,0,0,10,42000,1750000
Fordfigo,9,0,1200,0,0,10,7000,1475000
Fordecosport,7,0,1500,0,0,12,11000,2450000
Fordfigo,10,0,1200,0,0,9,38500,1425000
Fordfigo,9,0,1200,0,0,10,18000,1375000
Fordfigo,11,0,1200,0,0,8,35000,1250000
Fordfigo,8,0,1200,0,0,12,22000,1650000
Fordtitanium,12,1,3000,1,1,8,37500,4500000
Fordfigo,10,0,1400,0,1,9,40000,1450000
Fordfiesta,9,0,1600,0,0,10,29000,1600000
Fordtitanium,8,0,1000,0,0,11,28000,3275000
Fordecosport,8,0,1600,0,0,11,20000,1800000
Fordtitanium,7,0,1500,0,1,12,7900,4350000
Fordfigo,10,0,1200,0,0,9,31000,1350000
Fordfigo,10,0,1200,0,0,9,36000,1500000
Fordfigo,6,0,1200,0,0,13,300,2380000
Fordfigo,9,0,1200,0,0,9,26000,1650000
Fordtitanium,6,0,1500,0,0,13,600,3999000
Fordfigo,9,0,1300,0,0,9,30000,1600000
Fordfigo,18,0,1300,0,0,4,60000,425000
Fordfigo,9,0,1400,0,1,10,27500,2300000
Fordfigo,11,0,1200,0,0,8,32000,1550000
Fordtitanium,6,0,1400,0,1,13,300,3000000
Fordfigo,7,0,1200,0,0,12,4300,2200000
Fordfigo,10,0,1300,0,1,9,32000,1574997
Fordfiesta,7,0,1500,0,1,12,370,3400000
Fordtitanium,7,0,1500,0,1,12,5185,3700000
Fordfigo,9,0,1200,0,0,13,31000,1400000
Fordfigo,7,0,1200,0,0,11,4900,1950000
Fordtitanium,7,0,1400,0,1,11,1700,2800000
Fordtitanium,7,0,1600,0,0,11,2400,2350000
Fordfigo,9,0,1200,0,0,9,42000,1850000
Fordtitanium,7,0,1600,0,0,11,2400,2350000
Fordfigo,9,0,1300,0,0,10,21000,1400000
Fordfigo,11,0,1200,0,0,11,45000,1450000
Fordfigo,8,0,1200,0,0,11,16000,1400000
Fordfigo,9,0,1400,0,0,10,27000,2650000
Fordfigo,9,0,1200,0,0,9,13000,1725000
Fordranger,11,0,2500,0,1,8,60000,2900000
Fordfigo,9,0,1300,0,0,9,23000,1600000
Fordfigo,15,0,1400,0,0,7,30000,3000000
Fordecosport,7,0,1500,0,1,12,17000,4150000
Fordfigo,11,0,1300,0,0,8,35000,1525000
Fordfigo,10,0,1200,0,0,9,23000,1575000
Fordfigo,10,0,1200,0,0,8,20000,1500000
Fordfigo,9,0,1200,0,0,10,35000,1775000
Fordtitanium,9,1,2500,1,0,9,18500,7000000
Fordfigo,10,0,1200,0,0,11,40000,1425000
Fordfigo,9,0,1300,0,0,10,22000,1725000
Fordfigo,10,0,1200,0,0,9,35000,1575000
Fordfigo,8,0,1200,0,0,11,25000,1650000
Fordfigo,10,0,2000,0,0,9,35000,1550000
Fordfigo,7,0,1200,0,0,12,5000,2000000
Fordranger,11,0,2500,0,1,10,60000,2700000
Fordfigo,7,0,1200,0,0,2,18000,1925000
Fordfigo,8,0,1200,0,0,11,23000,1650000
Fordtitanium,7,0,1500,0,1,11,14000,4500000
Fordfigo,6,0,1200,0,0,12,6000,2025000
Fordfigo,9,0,1400,0,1,10,23500,2700000
Fordfigo,8,0,1200,0,0,10,95000,1900000
Fordtitanium,8,0,1600,0,0,11,4200,2150000
Fordfigo,9,0,1200,0,0,3,22000,1650000
Fordtitanium,7,0,1500,1,0,1,6500,3800000
Fordecosport,7,0,1500,0,0,14,14000,3250000
Fordecosport,7,0,1500,0,0,12,6400,3000000
Fordfigo,6,0,1200,0,0,12,6000,2000000
Fordfigo,10,0,1200,0,0,8,35000,1550000
Fordfigo,11,0,1200,0,0,8,27100,1425000
Fordtitanium,11,0,2500,0,1,7,65000,4200000
Fordfigo,9,0,1200,0,0,10,24000,1550000
Fordtitanium,7,0,1500,0,0,14,4000,3800000
Fordfigo,11,0,1200,0,0,8,25000,1450000
Fordfigo,9,0,1200,0,0,9,29000,2000000
Fordfigo,10,0,1200,0,0,11,26000,1750000
Fordfigo,8,0,1200,0,0,13,9100,1675000
Fordfigo,11,0,1200,0,0,8,22000,1600000
Fordfigo,11,0,1200,0,0,8,23000,1475000
Fordfigo,11,0,1200,0,0,8,27100,1600000
Fordtitanium,8,0,1000,0,0,11,13000,4000000
Fordfigo,9,0,1200,0,0,9,29000,1800000
Fordtitanium,9,0,1600,0,0,10,10000,2300000
Fordfigo,9,0,1400,0,1,10,20000,2300000
Fordtitanium,8,1,3000,1,1,10,7900,7000000
Fordfigo,9,0,1200,0,0,10,29000,1850000
Fordfigo,9,0,1200,0,0,10,15800,1575000
Fordfiesta,9,0,1500,0,0,9,40000,3000000
Fordfigo,9,0,1200,0,0,11,22000,1750000
Fordfiesta,7,0,1500,0,1,11,12000,3500000
Fordfigo,11,0,1200,0,0,8,21000,1750000
Fordfiesta,7,0,1500,0,0,13,2200,3350000
Fordfigo,10,0,1200,0,0,9,25000,1800000
Fordfigo,10,0,1200,0,0,9,10500,1950000
Fordecosport,8,0,1500,0,1,10,18000,4000000
Fordfigo,10,0,1300,0,0,10,17000,1700000
Fordecosport,7,0,1500,0,0,14,14000,3350000
Fordfigo,7,0,1200,0,0,10,14000,1650000
Fordfigo,11,0,1200,0,0,2,20000,1590000
Fordtitanium,9,0,1490,0,0,2,27000,2850000
Fordfiesta,8,0,1500,0,1,11,8900,3450000
Hondacr-v,5,1,2000,0,0,11,8000,1000000
Hondacity,13,0,1500,0,0,6,63000,1350000
Hondacity,8,0,1500,0,0,10,37000,2400000
Hondacity,11,0,1500,0,0,8,37000,2250000
Hondajazz,12,0,1200,0,0,7,40000,1650000
Hondabrio,7,0,1200,0,0,11,13600,1875000
Hondajazz,11,0,1200,0,0,7,45606,1800000
Hondacity,13,0,1497,0,0,6,52000,1450000
Hondacity,6,0,1500,0,0,15,2015,2800000
Hondajazz,12,0,1200,0,0,7,42000,1600000
Hondacity,10,0,1500,0,0,10,37000,110000
Hondacr-v,14,1,1997,1,0,6,57000,4151000
Hondacivic,11,0,1800,0,0,10,44000,3250000
Hondacity,11,0,1500,0,0,7,29000,2325000
Hondacity,15,0,1497,0,0,5,50010,1800000
Hondacrv,15,0,1900,0,0,6,55000,4200000
Hondacity,8,0,1500,0,0,10,19000,2750000
Hondacity,17,0,1400,0,0,5,50000,1250000
Hondajazz,9,0,1200,0,0,10,10000,2250000
Hondabrio,9,0,1198,0,0,9,27600,1775000
Hondacity,8,0,1500,0,0,10,49000,3100000
Hondacity,15,0,1497,0,0,5,50010,1800000
Hondacrv,14,1,1900,0,0,6,55000,4200000
Hondacr-v,14,1,2000,1,0,6,56000,4600000
Hondacity,12,0,1497,0,0,6,49000,1775000
Hondacity,6,0,1500,0,0,13,4500,3500000
